Source,NEW FORMAT,Linear A
HT 1,QE-RA-U,qru
HT 1,KI-RO,kr
HT 1,ZU-SU,zs
HT 1,DI-DI-KA-ZE,ddkz
HT 1,A-RA-NA-RE,arnr
HT 2,A-KA-RU,akr
HT 2,KI-RE-TA-NA,krtn
HT 3,QE-RA-JA,qrj
HT 3,QE-RA-YA,qry
HT 3,MU-RU,mr
HT 3,MA-DI,md
HT 4,RA-TI-KA-A-RE,rtar
HT 4,DU-RI-TE,drt
HT 4,PA-RE,pr
HT 4,TA-PI-RU-DI,tprd
HT 5,MA-SI,ms
HT 5,WI-DU,wd
HT6A,KA-PA,kp
HT6A,TE-NI,tn
HT6A,DA-TA-RA,dtr
HT6A,PI-TA-JA,ptj
HT6A,PI-TA-YA,pty
HT6A,MA-QA,mq
HT6A,KA-PA-QE,kpq
HT6A,DA-QE-RA,dqr
HT6A,QE-PI-TA,qpt
HT6B,WA-DU-NI-MI,wdnm
HT6B,RA-TI-SE,rts
HT6B,MA-RI-I-I,mr999i
HT6B,DU-DA-MA,ddm
HT6B,DA-KI,dk
HT6B,SA-MA,sm
HT7A,QE-TI,qt
HT7A,I-RU-JA,irj
HT7A,I-RU-YA,iry
HT7A,DU-JA,dj
HT7A,DU-YA,dy
HT7A,TA-NI-TI,tnt
HT7A,DA-RE,dr
HT7A,TE-TU,tt
HT8A,JE-DI-KI,jdk
HT8A,YE-DI-KI,ydk
HT8A,SI-KI-RA,skr
HT8A,KI-RE-TA-NA,krtn
HT8B,KA-PA,kp
HT8B,PA-JA-RE,pjr
HT8B,PA-YA-RE,pyr
HT9A,SA-RO,sr
HT9A,PA-DE,pd
HT9A,DI-NA-U,dnu
HT9A,QE-PU,qp
HT9A,A-RU,ar
HT9A,KU-RO,kr
HT9B,WA-JA-PI,wjp
HT9B,WA-YA-PI,wyp
HT9B,PA-DE,pd
HT9B,A-SI,as
HT9B,QE-PU,qp
HT9B,DI-NA-U,dnu
HT9B,KU-RO,kr
HT10A,KU-NI-SU,kns
HT10A,SA-MA,sm
HT10A,DA-RE,dr
HT10A,U-QA-ZA,uqz
HT10A,U-QA-ZA,uqz
HT10A,DA-RI-DA,drd
HT10A,ME-ZA,mz
HT10B,U-TI,ut
HT10B,DA-SI,ds
HT10B,TA-RI-NA,trn
HT10B,KA-SA-RU,ksr
HT10B,TA-NA-TI,tnt
HT11A,A-RU-RA,arr
HT11A,KA-RO-NA,krn
HT11A,A-SU-RA,asr
HT11A,KU-RO,kr
HT11B,DE-NU,dn
HT11B,RU-ZU-NA,rzn
HT11B,SA-QE-RI,sqr
HT11B,KU-RO,kr
HT12,QA-TI-DA-TE,qtdt
HT12,QE-TU-NE,qtn
HT12,DA-I,di
HT13,KA-U-DE-TA,kudt
HT13,RE-ZA,rz
HT13,TE-TU,tt
HT13,TE-KI,tk
HT13,KU-ZU-NI,kzn
HT13,I-DU-NE-SI,idns
HT13,KU-RO,kr
HT15,KI-RO,kr
HT16,KA-KU-PA,kkp
HT16,DI-NA-U,dnu
HT17,SA-RO,sr
HT17,SI-DA-RE,sdr
HT18,PA-SE,ps
HT19,SA-RO,sr
HT19,DU-ME-DI,dmd
HT19,PA-RO-SU,prs
HT19,KU-MA-JU,kmj
HT19,KA-MA-YU,kumayu
HT19,QE-KU-RE,qkr
HT19,SA-RE-JU,srj
HT19,SA-RE-YU,sry
HT20,PI-TA-KE-SE,ptks
HT23A,KA-NA,kn
HT23A,SA-SA-ME,ssm
HT23A,KO-RU,kr
HT23B,NI-RA,nr
HT24A,PA-SA-RI-JA,psrj
HT24A,PA-SA-RI-YA,psry
HT24A,RU-I-KO,rik
HT25A,DI-NA-U,dnu
HT25A,RU-NI,rn
HT25A,U-RE-WI,urw
HT25A,DI-NA-U,dnu
HT25A,A-RI-NI-TA,arnt
HT25A,TU-QE-NI,tqn
HT25A,DU-RU-WI,drw
HT25A,I-KI-RA,ikr
HT26A,TA-TI,tt
HT26A,MI-KI-SE-NA,mksn
HT26A,U-NU,un
HT26B,RO-NI,rn
HT26B,KA-U-ZU-NI,kuzn
HT27A,KI-NI-TA,knt
HT27A,I-MI-SA-RA,imsr
HT27A,SA-RA-DI,srd
HT27A,KI-DA,kd
HT27A,KU-RO,kr
HT27b,PA-SE,ps
HT28a,A-SI-JA-KA,asjk
HT28a,A-SI-YA-KA,asyk
HT28a,JA-ME,jm
HT28a,YA-ME,ym
HT28a,A-RU-DA-RA,ardr
HT28b,A-SI-JA-KA,asjk
HT28b,A-SI-YA-KA,asyk
HT28b,U-MI,um
HT28b,NA-SI,ns
HT28b,PU-RYA,999r
HT28b,JA-ME,jm
HT28b,YA-ME,ym
HT29,A-MA-TA,amt999
HT29,DI-JA-I,dji
HT29,DI-YA-I,dyi
HT29,SA-TI-MI,stm
HT29,SA-PI-MI,spm
HT29,A-RE-DA-I,ardi
HT29,KA-DU-MA-NE,kdmn
HT30,SA-RA-RA,srr
HT31,TI-SA,ts
HT31,PU-KO,pk
HT31,SU-PU,sp
HT31,SA-JA-MA,sjm
HT31,SA-YA-MA,sym
HT31,SU-NU-RA,snr
HT31,PA-TE-QE,ptq
HT32,SA-RYA,sr
HT32,SU-RE,sr
HT33,SA-RYA,sr
HT34,SA-RYA,sr
HT34,MI-JA-KA,mjk
HT34,MI-YA-KA,myk
HT34,KI-RO,kr
HT35,TI-TI-KU,ttk
HT35,I-KU-TA,ikt
HT35,MI-JA-RU,mjr
HT35,MI-YA-RU,myr
HT36,DU-ZU-WA,dzw
HT37,MI-JA-RE,mjr
HT37,MI-YA-RE,myr
HT37,KA-KI,kk
HT39,SA-MA-TI,smt
HT39,KU-RO,kr
HT40,QE-TU,qt
HT40,MI-DA-NI,mdn
HT40,PA-JA,pj
HT40,PA-YA,py
HT40,SA-RO,sr
HT40,SU-DU,sd
HT40,RE-TU,rt
HT43,MA-SI-DU,msd
HT44a,I-QA-DWO,iqd
Ht46a,KU-RO,kr
HT47a,NA-TU,nt
HT47a,MI-NU-MI,mnm
HT49a,SA-RYA-DU,srd
HT49a,QA-RYA-DU,qrd
HT49a,TA-NA-TI,tnt
HT49a,SU-KI,sk
HT49a,TI-DU-NI,tdn
HT49a,A-RU,ar
HT49a,TU-SU-PHU,tsp
HT51b,KU-MU-TA,kmt
HT52,SA-MA,sm
HT53b,KU-RO,kr
HT55a,KI-RO,kr
HT55a,MA-RE,mr
HT55a,SI-RU,sr
HT58,QE-TI-RA-DU,qtrd
HT62,SA-RA,sr
HT62,KA-KU,kk
HT62,I-TI,it
HT63,KA-TI,kt
HT63,SU-PU,sp
HT67,KU-RO,kr
HT74,KU-RO,kr
HT75,KA-RU,kr
HT80,JU-RA,jrm
HT80,YU-RA,yrm
HT81,A-SE,as
HT85a,A-DU,ad
HT85a,DA-RI-DA,drd
HT85a,DA-SI,ds
HT85a,TE-KE,tk
HT85a,DA-SI,ds
HT85b,KI-KI-RA-JA,kkrj
HT85b,KI-KI-RA-YA,kkry
HT85b,KI-SI-TA,kst
HT85b,QE-KA,qk
HT85b,SI-DI-SE,sds
HT85b,WA-DU-NI-MI,wdnm
HT85b,MA-DI,md
HT86a,A-KA-RU,akr
HT86a,KU-NI-SI,kns
HT86a,SA-RU,sr
HT86a,DI-MA-RU,dmr
HT86a,QA-RA-WA,qrw
HT86a,A-DU,ad
HT86a,MI-NU-TE,mnt
HT86b,A-KA-RU,akr
HT86b,KU-NI-SI,kns
HT86b,SA-RU,sr
HT86b,DI-MA,dm 
HT87,TU-NE,tn
HT87,MA-KA-RI-TE,mkrt
HT87,PI-TA-KE-SI,ptks
HT87,JA-RE-MI,jrm
HT87,YA-RE-MI,yrm
HT87,DI-KI-SE,dks
HT87,QE-SU-PU,qsp
HT87,KU-RU-KU,krk
HT88,A-DU,ad
HT88,RE-ZA,rz
HT88,KI-KI-NA,kkn
HT88,KA-JU,kj
HT88,KA-YU,ky
HT88,PA-JA-RE,pjr
HT88,SA-MA-RO,smr
HT88,DA-TA-RE,dtr
HT88,KU-RO,kr
HT89,A-SA-RA,asr
HT89,MA-I-MI,mim
HT89,TA-RA,tr
HT89,KU-RO,kr
HT90,I-KU-RI-NA-SA-RA,ikrnsr
HT90,SI-RU-MA-RI-TA,srmrt
HT91,I-KA,ik 
HT91,PA-E,pe
HT91,TE-WE,tw
HT92,A-DU,ad
HT93a,DI-WE-NA,dwn
HT93a,KI-DI-NI,kdn
HT93a,A-SE,as
HT93a,SA-RA,sr 
HT93a,QA-QA-RU,qqr
HT93a,MA-JU-KU,mjk
HT93a,MA-YU-KU,myk
HT93a,DA-RI-DA,drd
HT93a,PA-SE-JA,psj
HT93a,PA-SE-YA,psy
HT93b,KI-RO,kr
HT94a,KA-PA,kp
HT94a,KU-RO,kr
HT94a,SA-RA,sr
HT94b,KI-RO,kr
HT94b,TU-MA,tm
HT94b,PA-TA-NE,ptn
HT94b,WA-DI,wd
HT94b,KE-KI-RU,kkr
HT94b,SA-RU,sr
HT94b,KU-RO,kr
HT95a,DA-DU-MA-TA,ddmt
HT95a,DA-ME,dm
HT95a,MI-NU-TE,mnt
HT95a,SA-RU,sr
HT95a,KU-NI-SU,kns
HT95a,DI-WA-RU,dwr
HT95a,QE-RA-U,qru
HT95b,A-DU,ad
HT95b,SA-RU,sr
HT95b,DA-ME,dm
HT95b,MI-NU-TE,mnt
HT95b,KU-NI-SU,kns
HT95b,DI-WA-RU,dwr
HT95b,QE-RA-U,qru
HT96a,I-TI-TI-KU-NI,ittkn
HT96a,A-PA-RA-NE,aprn
HT96a,SI-MI-TA,smt
HT96a,RU-SA,rs
HT96a,PI-TA-RA,ptr
HT96a,KU-MA-RO,kmr
HT96b,A-PA-RA-NE,aprn
HT97a,KA-RU,kr
HT97a,KA-NU-TI,knt
HT97a,NA-TI,nt
HT97a,MA-DI,md
HT97a,TA-NI,tn
HT98a,TA-NA-TI,tnt
HT98a,DA-RE-DA-NA,drdn
HT98a,RO-KE,rk
HT98b,DA-RU-NE-TE,drnt
HT99a,A-DU,ad
HT99a,SA-RA,sr
HT99b,ZU-DU,zd
HT99b,RU-MA-TA,rmt
HT100,KU-RO,kr
HT100,SA-RA,sr
HT102,KA-PA,kp
HT102,SA-RA,sr
HT102,DA-RI-NA,drn
HT102,MA-ZU,mz
HT102,I-KA,ik
HT102,KU-RO,kr
HT103,DA-KU-SE-NE,dksn
HT103,DA-KU-NA,dkn
HT103,DA-KU-SE-NE,dksn
HT103,KI-RA,kr
HT104,TA-PA,tp
HT104,DA-KU-SE-NE-KI,dksnk
HT104,I-DA-KI,idk
HT104,PA-DA-TU-KI,pdtk
HT104,KU-RO,kr
HT105,KA-PA,kp
HT105,SA-RA,sr
HT106,MI-NU-TE,mnt
HT108,KI-RE-TA-NA,krtn
HT108,DI-NA-RO,dnr
HT108,DU-SU-NI,dsn
HT109,KU-RO,kr
HT109,A-RA-JU,arj
HT109,A-RA-YU,ary
HT110a,KU-PA,kp
HT110a,KU-RO,kr
HT111a,QE-KA,qk
HT111a,QA-SA,qs
HT111a,QA-QA-RU,qqr
HT111b,SA-DI,sd
HT112a,TU-PA,tp
HT113,RA-RI-WA,rrw
HT113,WI-SA,ws
HT114a,KI-RI-TA,krt
HT114a,SA-RA,sr
HT115a,RI-TA-MA-PU-WI,rtmpw
