Words,Frequency,syllabified
na,1736289,na
ya,1693058,ya
wa,1178912,wa
kwa,777053,ku-wa
ni,566846,ni
za,380463,za
katika,318708,ka-ti-ka
la,285471,la
kama,253290,ka-ma
kuwa,225112,ku-wa
cha,174044,ca
kwenye,161834,ku-we-ni-ye
cr,150162,ci-ri
sana,139879,sa-na
watu,138743,wa-tu
serikali,131559,se-ri-ka-li
au,125541,a-u
nchi,123405,ni-ci
the,122295,ti-he
hii,117863,hi-i
hiyo,115878,hi-yo
yake,113405,ya-ke
tu,104948,tu
sasa,102176,sa-sa
rais,100261,ra-i-si
hata,99905,ha-ta
mkuu,94758,mi-ku-u
vya,94650,vi-ya
tanzania,94291,ta-ni-za-ni-a
mwaka,93686,mu-wa-ka
ili,93264,i-li
lakini,93203,la-ki-ni
wakati,89458,wa-ka-ti
kwamba,87889,ku-wa-mi-ba
katiba,87502,ka-ti-ba
kuna,81596,ku-na
wake,80434,wa-ke
pia,77831,pi-a
hivyo,77403,hi-vi-yo
ccm,76185,ci-ci-mi
kila,75152,ki-la
zaidi,74977,za-i-di
kazi,72618,ka-zi
baada,70927,ba-a-da
moja,70714,mo-ja
kutoka,69383,ku-to-ka
mtu,69187,mu-tu
ndio,68452,ni-di-o
of,68376,o-fi
siku,64970,si-ku
maana,64289,ma-a-na
huo,64093,hu-o
said,62536,sa-i-di
wananchi,59030,wa-na-ni-ci
nchini,57816,ni-ci-ni
pamoja,57744,pa-mo-ja
huu,56975,hu-u
and,56852,a-ni-di
to,54948,to
wao,54182,wa-o
yao,53823,ya-o
ambayo,53625,a-mi-ba-yo
hadi,53602,ha-di
chama,53186,ca-ma
taifa,52427,ta-i-fa
hilo,52418,hi-lo
mambo,52061,ma-mu-bo
miaka,51395,mi-a-ka
unk,50658,u-ni-ki
juu,50273,ju-u
hapa,49194,ha-pa
wote,48813,wo-te
sababu,48680,sa-ba-bu
kubwa,48651,ku-bi-wa
sheria,47842,se-ri-a
ndani,47836,ni-da-ni
sio,47698,si-o
hili,47656,hi-li
hapo,47250,ha-po
kwanza,46405,ku-wa-ni-za
wengi,46251,we-ni-gi
hayo,45924,ha-yo
hivi,45550,hi-vi
bila,45396,bi-la
ambao,44928,a-mu-ba-o
kufanya,44493,ku-fa-ni-ya
muda,44406,mu-da
ila,44344,i-la
huko,43709,hu-ko
leo,43388,le-o
muungano,43044,mu-u-ga-no
in,42992,i-ni
mara,42963,ma-ra
